7.1.0	This NASA image is a composite of several satellite-based views of Earth.
7.1.368	The (a) bacteria in this micrograph belong to Domain Bacteria, while the (b) extremophiles (not visible) living in this hot vent belong to Domain Archaea.
7.1.369	Both the (c) sunflower and (d) lion are part of Domain Eukarya.
7.1.370	(credit a: modification of work by Drew March; credit b: modification of work by Steve Jurvetson; credit c: modification of work by Michael Arrighi; credit d:
7.1.371	modification of work by Leszek Leszcynski)Branches of Biological Study
7.1.372	The scope of biology is broad and therefore contains many branches and subdisciplines.
7.1.373	Biologists may pursue one of those subdisciplines and work in a more focused field.
7.1.374	For instance, molecular biology and biochemistry study biological processes at the molecular and chemical level, including interactions among molecules such as DNA, RNA, and proteins, as well as the way they are regulated.
7.1.375	Microbiology, the study of microorganisms, is the study of the structure and function of single-celled organisms.
7.1.376	It is quite a broad branch itself, and depending on the subject of study, there are also microbial physiologists, ecologists, and geneticists, among others.
7.1.377	Forensic science is the application of science to answer questions related to the law.
7.1.378	Biologists as well as chemists and biochemists can be forensic scientists.
7.1.379	Forensic scientists provide scientific evidence for use in courts, and their job involves examining trace materials associated with crimes.
7.1.380	Interest in forensic science has increased in the last few years, possibly because of popular television shows that feature forensic scientists on the job.
7.1.381	Also, the development of molecular techniques and the establishment of DNA databases have expanded the types of work that forensic scientists can do.
7.1.382	Their job activities are primarily related to crimes against people such as murder, rape, and assault.
7.1.383	Their work involves analyzing samples such as hair, blood, and other body fluids and also processing DNA (Figure 1.19) found in many different environments and materials.
7.1.384	Forensic scientists also analyze other biological evidence left at crime scenes, such as insect larvae or pollen grains.
7.1.385	Students who want to pursue careers in forensic science will most likely be required to take chemistry and biology courses as well as some intensive math courses.
7.1.386	Another field of biological study, neurobiology, studies the biology of the nervous system, and although it is considered a branch of biology, it is also recognized as an interdisciplinary field of study known as neuroscience.
7.1.387	Because of its interdisciplinary nature, this subdiscipline studies different functions of the nervous system using molecular, cellular, developmental, medical, and computational approaches.
7.1.388	Paleontology, another branch of biology, uses fossils to study life’s history (Figure 1.20).
7.1.389	Zoology and botany are the study of animals and plants, respectively.
7.1.390	Biologists can also specialize as biotechnologists, ecologists, or physiologists, to name just a few areas.
7.1.391	This is just a small sample of the many fields that biologists can pursue.
7.1.392	Biology is the culmination of the achievements of the natural sciences from their inception to today.
7.1.393	Excitingly, it is the cradle of emerging sciences, such as the biology of brain activity, genetic engineering of custom organisms, and the biology of evolution that uses the laboratory tools of molecular biology to retrace the earliest stages of life on earth.
7.1.394	A scan of news headlines—whether reporting on immunizations, a newly discovered species, sports doping, or a genetically-modified food—demonstrates the way biology is active in and important to our everyday world.  
