7.1.1.1	Chapter 1: Studying Life
7.1.0.0.1.6	Animals eat plants and other animals and compete with other species for food and other resources.
7.1.0.0.1.7	Some animals prevent other individuals of their own species from exploiting a resource, be it food, nesting sites, or mates.
7.1.0.0.1.8	Animals may also cooperate with members of their own species, forming social units such as a termite colony or a flock of birds.
7.1.0.0.1.9	Such interactions have resulted in the evolution of social behaviors such as communication and courtship displays.
7.1.0.0.1.10	Plants also interact with their external biotic and abiotic environment.
7.1.0.0.1.11	Plants living on land depend on partnerships with fungi, bacteria, and animals.
7.1.0.0.1.12	Some of these partnerships are necessary to obtain nutrients, some to produce fertile seeds, and still others to disperse seeds.
7.1.0.0.1.13	Plants compete with each other for light and water and have ongoing evolutionary interactions with the animals that eat them.
7.1.0.0.1.14	Through time, many adaptations such as thorns and toxins have evolved that protect plants from predation.
7.1.0.0.1.15	Other adaptations such as flowers and fruits help attract the animals that assist in plant reproduction.
7.1.0.0.1.16	The interactions of populations of plant and animal species in a community are major evolutionary forces that produce specialized adaptations.
7.1.0.0.1.17	The major ecosystems of Earth that cover broad geographic areas with distinguishing physical features and communities of organisms are known as biomes.
7.1.0.0.1.18	Examples of biomes include Arctic tundra, coral reefs, and tropical rainforests.
7.1.0.0.1.19	All of the biomes on our planet make up the biosphere.
7.1.0.0.1.20	The ways in which species interact with one another and with their environment in populations, communities, and ecosystems is the subject of ecology, covered in Part Ten of this book.
7.1.0.0.2.1	1.1 recap All organisms are related by common descent from a single origin of life.
7.1.0.0.2.2	They contain genetic information that encodes how they look and how they function.
7.1.0.0.2.3	They also reproduce, extract energy from their environment, use energy to do biological work, synthesize complex molecules to build biological structures, regulate their internal environment, and interact with one another.
7.1.0.0.2.4	Evolution has produced an enormous diversity of organisms that make up communities and ecosystems.
7.1.0.0.2.5	Genomics helps scientists establish the evolutionary relationships between organisms.
7.1.0.0.3.1	learning outcomes
7.1.0.0.4.1	You should be able to:
7.1.0.0.5.1	Explain how photosynthesis influenced the history of life on Earth.
7.1.0.0.6.1	Describe evidence that supports the common origin of all life on Earth.
7.1.0.0.7.1	Explain how natural selection can produce evolutionary change.
7.1.0.0.8.1	Explain how scientists classify organisms according to evolutionary relationships.
7.1.0.0.9.1	How were atmospheric oxygen levels related to the colonization of terrestrial environments?
7.1.0.0.10.1	If we discovered life on another planet, how could we tell if it had a separate origin from life on Earth?
7.1.0.0.11.1	Assume a population of fish becomes isolated in a dark cave environment, with no access to light from the surface.
7.1.0.0.11.2	What major change might you expect in the population over time, and why?
7.1.0.0.12.1	What information do biologists use to construct phylo-genetic trees?
7.1.0.0.12.2	The preceding section outlined the major features of life   features that we will cover in depth in subsequent chapters of this book.
7.1.0.0.12.3	Before going into the details of what we know about life, however, it is important to understand how scientists obtain information and how they use that information to broaden our understanding of life and to put that understanding to practical use.
7.1.0.0.13.1	Chapter 1 continues with
7.1.0.0.14.1	1.2 Biologists Investigate Life through Experiments That Test Hypotheses
7.1.2.1.1	Observing and quantifying are important skills
7.1.2.2.1	Scientific methods combine observation, experimentation, and logic
7.1.2.3.1	Good experiments have the potential to falsify hypotheses
7.1.2.4.1	Statistical methods are essential scientific tools
7.1.2.5.1	Discoveries in biology can be generalized
7.1.2.6.1	Not all forms of inquiry are scientific
7.1.2.7.1	Scientific investigations are based on observation, experimentation, data analysis, and logic.
7.1.2.7.2	Scientists use many different tools and methods in making observations, collecting data, experimenting, analyzing data, and applying logic.
7.1.2.8.1	focus your learning
7.1.2.9.1	Scientific methods produce biological knowledge.
7.1.0.0.1.1	Biologists observe the world around them.
7.1.0.0.1.2	Our ability to observe has been greatly enhanced by technologies such as electron microscopes, rapid genome sequencing, magnetic resonance imaging, and global positioning satellites.
7.1.0.0.1.3	These technologies allow us to observe everything from the distribution of molecules in the body to the movement of animals across continents and oceans.
7.1.0.0.2.1	Observation is a basic tool of biology, but as scientists we must be able to quantify the information, or data, we collect and observe.
7.1.0.0.2.2	Whether we are testing a new drug or mapping the migrations of whales, it is essential to apply mathematical and statistical methods to the data we collect.
7.1.0.0.2.3	In our opening discussion of the responses of corals to temperature, it was essential for Rachael to measure temperatures accurately and to have a physical measure of bleaching so she could compare the responses of her corals to different conditions and conclude that the differences were more than just random variation.
7.1.0.0.1.1	Textbooks often describe    the scientific method,  ? as if there were a single, simple flow chart that all scientists follow.
7.1.0.0.1.2	This is an oversimplification.
7.1.0.0.1.3	Although flow charts such as the one shown in Figure 1.12 incorporate much of what scientists do, you should not conclude that scientists necessarily progress through the steps of the process in one prescribed, linear order.
7.1.0.0.1.4	Figure 1.12 Scientific Methodology
7.1.0.0.2.1	Observations lead to questions.
7.1.0.0.2.2	To answer those questions, scientists make additional observations, formulate possible answers, and do experiments to test those possibilities.
7.1.0.0.2.3	This investigative approach traditionally has five steps: (1) making observations; (2) asking questions; (3) forming hypotheses, which are tentative answers to the questions; (4) making predictions based on the hypotheses; and (5) testing the predictions by making additional observations or conducting experiments.
